locationID,Latitude,Longtitude
01A,58.10944444,-152.9066667
03A,65.54805556,-161.0716667
04A,68.08333333,-163.1666667
05A,67.57,-148.1838889
06A,57.74527778,-152.8827778
07A,55.55472222,-133.1016667
08A,59.15694444,-151.8291667
09A,59.36277778,-153.4305556
1B1,42.29138889,-73.71027778
1B1,42.28888889,-73.71027778
1G4,35.98611111,-113.8169444
1G4,35.99027778,-113.8163889
1G4,35.99027778,-113.8163889
1G4,35.98611111,-113.8169444
1N7,40.97111111,-74.9975
1NY,42.63694444,-77.05277778
1NY,42.63722222,-77.05277778
1NY,42.63694444,-77.05277778
2NY,40.8275,-73.71694444
6B0,43.98472222,-73.09583333
6B0,43.98472222,-73.09583333
6B0,43.98555556,-73.09555556
6B0,43.98555556,-73.09555556
7AK,54.14472222,-165.6041667
8F3,33.62388889,-101.2408333
A01,64.36416667,-147.3613889
A01,64.36361111,-147.3638889
A02,57.06666667,-153.9377778
A03,58.4575,-154.0233333
A04,57.27722222,-154.3422222
A05,61.96388889,-151.5558333
A06,65.65555556,-165.3563889
A07,66.76611111,-160.1527778
A07,66.76583333,-160.1525
A08,56.59805556,-134.2427778
A09,60.48166667,-146.5841667
A09,60.48222222,-146.5822222
A09,60.48166667,-146.5841667
A09,60.48222222,-146.5822222
A11,60.78388889,-159.5402778
A12,60.78527778,-158.8644444
A13,61.39027778,-157.9955556
A14,61.18888889,-159.8583333
A15,70.71555556,-154.4069444
A15,70.71861111,-154.3883333
A16,70.74694444,-155.3608333
A17,58.06555556,-153.0725
A18,63.54111111,-150.995
A18,63.54166667,-150.9938889
A18,63.54111111,-150.995
A18,63.54166667,-150.9938889
A1K,70.13611111,-146.29
A1L,34.26861111,-86.85805556
A20,70.34416667,-150.9447222
A21,65.85138889,-164.7027778
A22,53.97277778,-166.8569444
A23,59.77611111,-151.9636111
A24,59.33166667,-135.8966667
A25,59.28833333,-136.1738889
A26,68.48333333,-155.7333333
A27,64.44,-144.9363889
A28,57.25388889,-154.4222222
A29,57.32305556,-153.1494444
A2K,58.23305556,-157.3663889
A2L,34.47361111,-85.72138889
A30,57.96388889,-153.0583333
A31,58.98277778,-153.1833333
A34,58.36194444,-152.3122222
A35,70.17277778,-146.8361111
A36,55.56027778,-131.6555556
A37,61.89888889,-161.4397222
A37,61.89888889,-161.4380556
A38,64.09722222,-143.2666667
A39,61.86611111,-141.1597222
A3K,70.76583333,-154.2308333
A40,71.05694444,-154.7283333
A41,70.57472222,-152.2588889
A41,70.57611111,-152.2711111
A42,70.35833333,-153.1966667
A43,57.78083333,-152.3911111
A45,57.81666667,-134.5833333
A46,57.7,-134.2666667
A47,57.61666667,-134.3666667
A48,57.15,-153.15
A49,70.28444444,-152.2119444
A4K,64.42138889,-149.8944444
A50,58.5625,-152.5961111
A51,64.35277778,-151.275
A52,59.96388889,-152.6822222
A53,64.33333333,-147.5
A54,53.68333333,-166.75
A56,56.03666667,-160.2661111
A57,58.26666667,-157.5333333
A58,64.5,-151.6666667
A59,68.48777778,-155.7575
A5K,63.02444444,-145.5005556
A5K,63.02444444,-145.5005556
A61,54.58333333,-164.9125
A61,54.5825,-164.9144444
A62,60.86777778,-157.3919444
A63,65.31111111,-143.1352778
A63,65.31138889,-143.1355556
A63,65.31166667,-143.1341667
A63,65.31138889,-143.1355556
A63,65.31166667,-143.1341667
A65,57.53833333,-154.1644444
A66,60.90555556,-149.6238889
A66,60.90416667,-149.6238889
A66,60.90722222,-149.6227778
A66,60.90416667,-149.6238889
A66,60.90722222,-149.6227778
A67,57.84944444,-153.1152778
A69,55.74,-162.1252778
A6K,65.04472222,-145.4230556
A70,57.77416667,-153.5447222
