MHK,AMW
EUG,RDM
MFR,RDM
SEA,RDM
PDX,RDM
LMT,RDM
SFO,RDM
LAX,RDM
EAT,RDM
YKM,RDM
EKO,RDM
SLE,RDM
GEG,RDM
RDD,RDM
LWS,RDM
AST,RDM
CLM,RDM
PDT,RDM
SJC,RDM
ACV,RDM
PUW,RDM
SMF,RDM
FLL,RDM
PHX,RDM
BFI,RDM
GGG,RDM
GTF,RDM
FAT,RDM
TUS,RDM
MWH,RDM
BIL,RDM
DFW,RDM
RBG,RDM
SLC,RDM
CPR,RDM
RDM,RDM
RNO,RDM
FBK,RDM
ANC,RDM
BIF,RDM
CIC,RDM
SAF,RDM
ABQ,RDM
FSM,RDM
LAS,RDM
DQF,RDM
ICT,RDM
AZA,RDM
DLH,RDM
CEC,RDM
OKC,RDM
SAN,RDM
STS,RDM
DRO,RDM
OAK,RDM
SJC,EKO
YKM,EKO
IAH,EKO
ELP,EKO
DBQ,EKO
CPR,EKO
HLN,EKO
DFW,EKO
DLH,EKO
EUG,EKO
FAT,EKO
RDM,EKO
TUL,EKO
OMA,EKO
ACT,EKO
BTM,EKO
AUS,EKO
SLE,EKO
PIA,EKO
CWA,EKO
TUS,EKO
PUB,EKO
FOE,EKO
COS,EKO
OKC,EKO
CLM,EKO
GJT,EKO
SLC,EKO
LBF,EKO
SPS,EKO
GEG,EKO
SEA,EKO
CYS,EKO
ABR,EKO
BRD,EKO
AMA,EKO
BIL,EKO
ICT,EKO
ROW,EKO
BIS,EKO
MSO,EKO
GCC,EKO
LBB,EKO
LBL,EKO
MAF,EKO
MSN,EKO
LNK,EKO
MFR,EKO
PDX,EKO
ALO,EKO
RFD,EKO
GRB,EKO
LSE,EKO
FCA,EKO
MKE,EKO
BLI,EKO
FOD,EKO
DSM,EKO
EAU,EKO
MCW,EKO
RAP,EKO
LIT,EKO
SHV,EKO
MCI,EKO
ABQ,EKO
GFK,EKO
GTF,EKO
BFL,EKO
SAT,EKO
MSP,EKO
SGF,EKO
BFF,EKO
FSD,EKO
GRI,EKO
CID,EKO
FYV,EKO
SUX,EKO
GCK,EKO
BTR,EKO
IDA,EKO
SPI,EKO
SBA,EKO
CRP,EKO
DEC,EKO
ORD,EKO
BZN,EKO
PIR,EKO
MLU,EKO
YUM,EKO
MOT,EKO
GYY,EKO
FAR,EKO
RST,EKO
STL,EKO
SAN,EKO
BNA,EKO
EVV,EKO
FSM,EKO
MWH,EKO
MEM,EKO
PHX,EKO
JAN,EKO
MOD,EKO
OAK,EKO
RDD,EKO
LWS,EKO
CMI,EKO
SCK,EKO
IND,EKO
BMI,EKO
TWF,EKO
GGG,EKO
RNO,EKO
LRD,EKO
ACV,EKO
CAK,EKO
MTJ,EKO
CLE,EKO
CLL,EKO
DTW,EKO
ABI,EKO
DAY,EKO
EKO,EKO
CVG,EKO
JAC,EKO
CMH,EKO
SBN,EKO
FWA,EKO
AZO,EKO
HOU,EKO
RKS,EKO
LAS,EKO
BPT,EKO
PIH,EKO
SLN,EKO
UIN,EKO
LAW,EKO
TOL,EKO
RIW,EKO
BRO,EKO
SJT,EKO
PRB,EKO
SFO,EKO
PUW,EKO
SHR,EKO
MCE,EKO
GRK,EKO
VGT,EKO
LAX,EKO
CDC,EKO
PNC,WDG
DFW,WDG
HRO,WDG
WDG,WDG
RCA,END
BWD,WDG
DFW,END
LBL,WDG
DDC,WDG
PIT,ERI
CVG,ERI
ORH,ERI
ITH,ERI
ELM,ERI
BOS,ERI
ATL,ERI
ORD,ERI
MDW,ERI
PHL,ERI
LAS,ERI
GSO,ERI
MKE,ERI
FNT,ERI
CLE,ERI
BUF,ERI
EWR,ERI
BGR,ERI
CLT,ERI
JFK,ERI
SYR,ERI
RIC,ERI
GRR,ERI
MSP,ERI
SBN,ERI
DTW,ERI
YIP,ERI
ABE,ERI
LGA,ERI
PVD,ERI
LEX,ERI
BNA,ERI
BHM,ERI
ACY,ERI
MEM,ERI
MCO,ERI
PHX,ERI
CMH,ERI
YNG,ERI
IND,ERI
PWM,ERI
MDT,ERI
BGM,ERI
IAD,ERI
ALB,ERI
MSY,ERI
ROC,ERI
CAK,ERI
AVP,ERI
AZO,ERI
ROA,ERI
RDU,ERI
CID,ERI
GSP,ERI
BTV,ERI
CRW,ERI
MSN,ERI
STL,ERI
CHS,ERI
DCA,ERI
CHA,ERI
SCE,ERI
CHO,ERI
FLL,ERI
LAN,ERI
BDL,ERI
CAE,ERI
TOL,ERI
JHW,ERI
FWA,ERI
MHT,ERI
ILM,ERI
DAY,ERI
GDC,ERI
IAH,ERI
FLO,ERI
RNO,ERI
DFW,ERI
ISO,ERI
GRB,ERI
BWI,ERI
DLH,ERI
ERI,ERI
SFB,ERI
PGV,ERI
TYS,ERI
SLC,GYY
EKO,GYY
BFF,GYY
GRI,GYY
YIP,GYY
CMI,GYY
OMA,GYY
LRD,GYY
MDW,GYY
ATL,GYY
LBF,GYY
RAP,GYY
GJT,GYY
MCI,GYY
ELP,GYY
SFB,GYY
PUB,GYY
TOL,GYY
GYY,GYY
CAK,GYY
DAY,GYY
LIT,GYY
SBN,GYY
MSP,GYY
PIT,GYY
LEX,GYY
PHL,GYY
ABE,GYY
MEM,GYY
ICT,GYY
IAD,GYY
BUF,GYY
RFD,GYY
HSV,GYY
DSM,GYY
BWG,GYY
TUL,GYY
EWR,GYY
ADS,GYY
IND,GYY
MKE,GYY
DET,GYY
DTW,GYY
GRK,GYY
LOZ,GYY
FWA,GYY
SUS,GYY
EVV,GYY
ILM,GYY
WGO,GYY
FSD,GYY
CLT,GYY
BWI,GYY
CLE,GYY
GSB,GYY
MYR,GYY
PHX,GYY
CAE,GYY
RDU,GYY
MBS,GYY
CLU,GYY
LCK,GYY
SYI,GYY
LAX,GYY
TLH,GYY
BMG,GYY
SHV,GYY
MNN,GYY
RNO,GYY
ALB,GYY
CRW,GYY
LUK,GYY
GSP,GYY
MGM,GYY
MFD,GYY
LAS,GYY
PNS,GYY
ASN,GYY
CHS,GYY
GSO,GYY
ACY,GYY
TVC,GYY
KY5,GYY
MIA,GYY
GPT,GYY
BDL,GYY
YNG,GYY
TCL,GYY
LGA,GYY
BNA,GYY
DRT,GYY
ORD,GYY
DQF,GYY
MCO,GYY
FLL,GYY
DFW,GYY
FNT,GYY
AEX,GYY
STL,GYY
BRO,GYY
HUF,GYY
SAT,GYY
RWI,GYY
SPS,GYY
OKC,GYY
LAN,GYY
TPA,GYY
MDT,GYY
SNA,GYY
PWM,GYY
TYS,GYY
BOS,GYY
SLN,GYY
IAH,GYY
AGC,GYY
GBD,HYS
DDC,HYS
ICT,HYS
FAI,HYS
GCK,HYS
MCI,HYS
SLN,HYS
FOE,HYS
LBL,HYS
MHK,HYS
EAR,HYS
BRL,HYS
PUB,HYS
JLN,HYS
TBN,HYS
HNL,ITO
